,run_id,name,model_id,test_accuracy,runtime,gpu_memory,flops_per_sec
2,igyrfwxv,daily-music-9,facebook/wav2vec2-xls-r-300m,97.67424464225768,150114.31572192,46.58858935105084,35.621525504
1,16ryf90y,worthy-elevator-7,facebook/mms-lid-126,97.51566648483276,279173.89553082,36.602097123018865,99.542341632
0,cnidpi03,stilted-bird-5,NeMo_ambernet,92.47149229049684,70352.51445162,18.58982493495652,5.012643104
4,znd36c9w,apricot-capybara-13,whisper_base,91.240656375885,123030.06031824001,7.827459212549019,96.96382848
3,d8a1buho,glowing-breeze-10,speechbrain/lang-id-voxlingua107-ecapa,89.97206091880798,86353.94483063999,50.456482164363635,3.772615704
5,7zi2am3w,misty-dew-11,whisper_tiny,87.91059255599976,123885.48321312001,5.013554115764705,40.598889216
